번호,발생시각,년,월 ,일,규모,위도,경도,위치,위도(숫자)
352,2017-07-19,2017,7,19,2.2,33.77 N,126.12 E,제주 제주시 북서쪽 48km 해역,33.77 
351,2017-07-18,2017,7,18,2.7,37.69 N,126.19 E,인천 강화군 서남서쪽 27km 해역,37.69 
350,2017-07-09,2017,7,9,2.1,33.51 N,125.73 E,제주 제주시 고산 서북서쪽 47km 해역,33.51 
349,2017-07-08,2017,7,8,2.8,40.40 N,127.29 E,북한 함경남도 장진 동북동쪽 5km 지역,40.40 
348,2017-07-06,2017,7,6,2.4,36.00 N,127.94 E,경북 김천시 남서쪽 22km 지역,36.00 
347,2017-07-05,2017,7,5,2.5,35.99 N,127.97 E,경북 김천시 남서쪽 21km 지역,35.99 
346,2017-06-28,2017,6,28,2.7,40.00 N,125.81 E,북한 평안북도 영변 북쪽 22km 지역,40.00 
345,2017-06-27,2017,6,27,2,35.77 N,129.20 E,경북 경주시 남남서쪽 8km 지역,35.77 
344,2017-06-20,2017,6,20,2,35.85 N,129.08 E,경북 경주시 서쪽 12km 지역,35.85 
343,2017-06-17,2017,6,17,2.3,33.38 N,127.21 E,제주 서귀포시 성산 동쪽 30km 해역,33.38 
342,2017-06-15,2017,6,15,2.4,36.54 N,125.07 E,충남 태안군 서격렬비도 서쪽 42km 해역,36.54 
341,2017-06-14,2017,6,14,2.2,38.34 N,126.14 E,북한 황해북도 평산 서쪽 22km 지역,38.34 
340,2017-06-13,2017,6,13,2.1,35.74 N,129.18 E,경북 경주시 남남서쪽 11km 지역,35.74 
339,2017-06-11,2017,6,11,2.5,35.77 N,129.17 E,경북 경주시 남남서쪽 9km 지역,35.77 
338,2017-06-11,2017,6,11,2,37.28 N,129.21 E,강원 삼척시 남남동쪽 19km 지역,37.28 
337,2017-06-04,2017,6,4,2.1,36.83 N,128.10 E,충북 충주시 남동쪽 24km 지역,36.83 
336,2017-05-28,2017,5,28,2.7,35.67 N,129.56 E,울산 북구 동북동쪽 20km 해역,35.67 
